batch,cohort,gsm,sample_title,phenotype,age_years,biosample,srx,srr,layout,include
M02-B3,GSE193136,GSM5774273,Ovarian granulosa cells-DOR_rep1,DOR,38,SAMN24675271,SRX13635107,SRR17463954,PAIRED,YES
M02-B3,GSE193136,GSM5774274,Ovarian granulosa cells-DOR_rep2,DOR,28,SAMN24675270,SRX13635108,SRR17463953,PAIRED,YES
M02-B3,GSE193136,GSM5774275,Ovarian granulosa cells-DOR_rep3,DOR,37,SAMN24675269,SRX13635109,SRR17463952,PAIRED,YES
M02-B3,GSE193136,GSM5774276,Ovarian granulosa cells-DOR_rep4,DOR,30,SAMN24675268,SRX13635110,SRR17463951,PAIRED,YES
M02-B3,GSE193136,GSM5774277,Ovarian granulosa cells-DOR_rep5,DOR,39,SAMN24675267,SRX13635111,SRR17463950,PAIRED,YES
M02-B3,GSE193136,GSM5774278,Ovarian granulosa cells-DOR_rep6,DOR,36,SAMN24675266,SRX13635112,SRR17463949,PAIRED,YES
M02-B3,GSE193136,GSM5774279,Ovarian granulosa cells-NOR_rep1,NOR,30,SAMN24675265,SRX13635113,SRR17463948,PAIRED,YES
M02-B3,GSE193136,GSM5774280,Ovarian granulosa cells-NOR_rep2,NOR,30,SAMN24675264,SRX13635114,SRR17463947,PAIRED,YES
M02-B3,GSE193136,GSM5774281,Ovarian granulosa cells-NOR_rep3,NOR,33,SAMN24675263,SRX13635115,SRR17463946,PAIRED,YES
M02-B3,GSE193136,GSM5774282,Ovarian granulosa cells-NOR_rep4,NOR,29,SAMN24675262,SRX13635116,SRR17463945,PAIRED,YES
M02-B3,GSE193136,GSM5774283,Ovarian granulosa cells-NOR_rep5,NOR,32,SAMN24675261,SRX13635117,SRR17463944,PAIRED,YES
M02-B3,GSE193136,GSM5774284,Ovarian granulosa cells-NOR_rep6,NOR,28,SAMN24675260,SRX13635118,SRR17463943,PAIRED,YES
