srr,gsm,phenotype,mate,expected_bytes,expected_md5,filename
SRR30244479,GSM8458768,DOR,1,1589913761,2d4429f14e3210a34ac0e1e563562f9b,SRR30244479_1.fastq.gz
SRR30244479,GSM8458768,DOR,2,1636248648,1c98f876c1c934c2af848c8658d6441a,SRR30244479_2.fastq.gz
SRR30244480,GSM8458767,DOR,1,1786421584,120362f1d09c39f320ef53033e45f55f,SRR30244480_1.fastq.gz
SRR30244480,GSM8458767,DOR,2,1810906722,64aefa7bca75b576193122f760a1a729,SRR30244480_2.fastq.gz
SRR30244481,GSM8458766,DOR,1,1763960846,3bcb6c6e30f5d43b75c9847105b54d42,SRR30244481_1.fastq.gz
SRR30244481,GSM8458766,DOR,2,1779610136,8ec55feb7a67af4919172d939cb80457,SRR30244481_2.fastq.gz
SRR30244482,GSM8458765,NOR,1,1598798987,2290c0b223b5d0bedb8e6c3487dadd4b,SRR30244482_1.fastq.gz
SRR30244482,GSM8458765,NOR,2,1634699439,6b9197c82d09f556dc9d183ef3c42071,SRR30244482_2.fastq.gz
SRR30244483,GSM8458764,NOR,1,1673532937,350435d1d25871fa68d86352331f401c,SRR30244483_1.fastq.gz
SRR30244483,GSM8458764,NOR,2,1683867903,c076aaee96726795950c537bcd6ace98,SRR30244483_2.fastq.gz
SRR30244484,GSM8458763,NOR,1,1674212496,27f7737bff7bf36783343bef58340cb1,SRR30244484_1.fastq.gz
SRR30244484,GSM8458763,NOR,2,1686057852,211d4d07586cfceb69a7167682cf067e,SRR30244484_2.fastq.gz
